period,month,day,tank,initial_cfu,moisture,salt,temp,humidity,pH,aw,bacillus_cfu
38,12,18,3,1200,52.3,12.1,,,6.2,,2400
38,12,18,9,1900,52.1,12,,,6.1,,1400
38,12,18,14,8500,52.9,11.8,,,6.2,,24000
38,12,18,17,14000,53.5,12.6,,,6.2,,16000
28,2,21,3,3900,53.2,11,,,6.2,,6500
36,2,21,7,5400,53.2,10.8,,,6,,5400
42,3,7,12,3900,53.5,11.8,,,6.2,,6500
44,3,13,1,0,51.5,10.2,,,6.2,,9500
37,3,13,3,0,52.3,10.2,,,6.3,,200
37,3,13,5,0,52,10.6,,,6.3,,700
37,3,13,9,0,52.6,10.5,,,6.1,,3000
37,3,13,11,800,52.4,10.6,,,6.2,,8300
33,4,6,1,600,52.3,11.3,,,6.3,,3400
33,4,6,3,300,52.1,10.8,,,6.3,,2300
33,4,6,10,6400,53.8,11.1,,,6.2,,6900
33,4,6,12,2700,55.4,12.6,,,6.3,,6500
40,4,13,1,1000,51,10.8,,,6.1,,4900
40,4,13,16,900,53,11.3,,,6.2,,5300
45,4,24,1,700,52.5,11.6,,,6.2,,4900
45,4,24,3,900,52.7,11.9,,,6.2,,2000
45,4,24,9,200,52.8,11.7,,,6.2,,1600
38,4,24,15,500,50.8,11.7,,,6.2,,4900
38,4,24,17,100,52.1,12,,,6.2,,5900
39,5,5,14,1100,52.5,10.7,,,5.8,,9200
40,5,11,1,500,52.5,10.6,,,6,,1000
33,5,11,3,0,53,11.6,,,6.2,,3200
33,5,11,9,0,52.3,11.3,,,6.2,,1300
40,5,11,14,400,52.1,10.9,,,6.2,,900
40,5,11,16,0,50.7,10.8,,,6.2,,1000
48,5,18,1,2300,52.3,11,,,6.1,,11500
48,5,18,3,1200,52.2,10.8,,,6.1,,2900
40,5,18,8,1300,52.4,10.9,,,6.2,,2100
40,5,18,14,1100,52.3,10.7,,,6.2,,1700
48,5,18,16,400,52.7,11,,,6.2,,4800
27,6,7,1,6000,52,11,,,6.3,,6800
27,6,7,6,1700,51.8,11.1,,,6.3,,2800
34,6,7,9,7100,52.3,10.6,,,6.2,,8700
34,6,7,11,7100,53.1,11.3,,,6.1,,10900
29,6,19,3,2900,51.7,10.5,,,6.2,,6800
29,6,19,6,1500,50,10.4,,,6.3,,4100
33,6,29,8,9000,53.3,11.3,,,6.1,,9500
33,6,29,9,6300,53,11.2,,,6.1,,15000
33,6,29,11,5800,53.1,11.4,,,6.1,,11600
30,7,13,1,8100,52.1,10.3,,,5.8,,2300
30,7,13,5,7400,52.7,10.6,,,5.7,,3400
30,7,13,14,9900,52.3,10.4,,,5.4,,8100
38,7,22,3,200,54.6,11,,,5.5,,1100
38,7,22,7,1500,54.1,10.6,,,5.5,,1700
38,7,22,11,4700,52.7,10.7,,,6,,2700
48,7,28,3,4800,53.6,10.4,,,5.4,,7100
48,7,28,6,6000,50.9,10.3,,,5.5,,3200
48,7,28,9,17000,52.8,10.2,,,5.5,,18800
